id,category,instruction,reference,baseline_prediction,baseline_rouge_l,baseline_bleu,lora_prediction,lora_rouge_l,lora_bleu,qlora_prediction,qlora_rouge_l,qlora_bleu,full_fine-tune_prediction,full_fine-tune_rouge_l,full_fine-tune_bleu,best_mode
10,classification,"Which of the following are noble gases: helium, sodium, neon, oxygen, argon, hydrogen, calcium, magnesium, lithium, boron, krypton, nitrogen, xenon, aluminium, radon.","The noble gases are - helium, neon, argon, krypton, xenon, radon.","helium, neon, argon, krypton, xenon, radon

### Explanation:
Noble gases are the elements in the rightmost column of the periodic table. They are helium, neon, argon, krypton, xenon, and radon.",0.4615,0.1644,"The noble gases are helium, neon, argon, krypton, xenon, and radon. The others are not noble gases. Noble gases are also known as inert gases. They are gases that do not react with other elements. The",0.1124,0.0342,"Helium, neon, argon, krypton, xenon, radon are noble gases. The rest are not noble gases. Noble gases are inert and do not react with other elements. They are also known as inert gases. Helium is the ",0.1031,0.0250,"The noble gases are helium, neon, argon, krypton, xenon, and radon. The other elements are not noble gases. Noble gases are elements that are unreactive and do not form compounds. They are also known ",0.1042,0.0315,LoRA
11,classification,"Identify which instrument is string or percussion: Pellet drum, Rajao","Rajao is string, Pellet drum is percussion","Rajao is a percussion instrument, while Pellet drum is a string instrument.

### Explanation:
Rajao is a percussion instrument because it is played by striking it with a stick or hand. It is made of w",0.1071,0.0111,"Rajao is string, Pellet drum is percussion. Rajao is a string instrument from the Philippines. Pellet drum is a percussion instrument from the Philippines. It is a small drum with a wooden body and a ",0.0596,0.0200,"Rajao is string, Pellet drum is percussion. Rajao is a string instrument from Brazil. Pellet drum is a percussion instrument from India. It is made of wood and is used in the Carnatic music tradition.",0.0700,0.0236,"Rajao is string, Pellet drum is percussion.",1.0000,0.8091,Full Fine-Tune
12,classification,"I dont think I should pursue higher education. From the following, what are some pros and cons of getting a masters education?

degree to show mastery of a subject
Takes money
Hard work is required
Lo","Pros:
skill development
respect in society
degree to show mastery of a subject
Set you up for lifelong success

Cons:
Takes money
Hard work is required
Time away from family
Losing out on entrepreneur","degree to show mastery of a subject
Takes money
Hard work is required
Losing out on entrepreneurial opportunities by the time spent studying
skill development
Time away from family
Set you up for life",0.3115,0.1300,"Pros of getting a masters education:
- degree to show mastery of a subject
- skill development
- Set you up for lifelong success
- respect in society

Cons of getting a masters education:
- Takes mone",0.2348,0.1092,"Pros of getting a masters education:
- degree to show mastery of a subject
- skill development
- Set you up for lifelong success
- respect in society

Cons of getting a masters education:
- Takes mone",0.2451,0.1147,"The pros of getting a masters education are that it shows mastery of a subject, skill development, and sets you up for lifelong success. The cons are that it takes money, hard work is required, you lo",0.2140,0.0653,QLoRA
13,classification,"Classify each method of communication as ""verbal"" or ""written"": e-mail, phone call, slack chat, zoom meeting, text, post mail","E-mail: Written
Phone Call: Verbal
Slack Chat: Written
Zoom Meeting: Verbal
Text: Written
Post Mail: Written","verbal: phone call, zoom meeting, text
written: e-mail, slack chat, post mail",0.5333,0.0173,"e-mail: written
phone call: verbal
slack chat: written
zoom meeting: verbal
text: written
post mail: written
The methods of communication that are verbal are phone call, zoom meeting, and text. The me",0.1411,0.0656,"Verbal: phone call, zoom meeting, text
Written: e-mail, slack chat, post mail. 
Verbal communication is communication that is spoken, such as a phone call or a zoom meeting. Written communication is c",0.0855,0.0015,"e-mail: written
phone call: verbal
slack chat: written
zoom meeting: verbal
text: written
post mail: written
phone call: verbal
slack chat: written
zoom meeting: verbal
text: written
post mail: writte",0.2036,0.0980,Full Fine-Tune
14,classification,"Tell me which of these is a Country, a City, a River, or a Mountain: New York, Nile, Amazon, Kilimanjaro, USA, Spain, Italy, Rome, Prague, Zurich, France, San Francisco, K2, Buenos Aires, Brazil, Moun","New York - City
Nile - River
Amazon - River
Kilimanjaro - Mountain
USA - Country
Spain - Country
Italy - Country
Rome - City
Prague - City
Zurich - City
France - Country
San Francisco - City
K2 - Moun","```
Country: USA, Spain, Italy, France, Brazil
City: New York, Rome, Prague, Zurich, San Francisco, Buenos Aires, London
River: Nile, Amazon, Mekong
Mountain: Kilimanjaro, K2, Mount Everest
```
### Ex",0.2346,0.0055,"New York: City
Nile: River
Amazon: River
Kilimanjaro: Mountain
USA: Country
Spain: Country
Italy: Country
Rome: City
Prague: City
Zurich: City
France: Country
San Francisco: City
K2: Mountain
Buenos A",0.3687,0.0074,"New York: City
Nile: River
Amazon: River
Kilimanjaro: Mountain
USA: Country
Spain: Country
Italy: Country
Rome: City
Prague: City
Zurich: City
France: Country
San Francisco: City
K2: Mountain
Buenos A",0.4938,0.0075,"New York: City
Nile: River
Amazon: River
Kilimanjaro: Mountain
USA: Country
Spain: Country
Italy: Country
Rome: City
Prague: City
Zurich: City
France: Country
San Francisco: City
K2: Mountain
Buenos A",0.3540,0.0055,QLoRA
15,classification,"Identify which car manufacturer is Japanese or American: RAM, Toyota Motor Corporation","RAM is American, Toyota Motor Corporation is Japanese","RAM is an American car manufacturer, Toyota Motor Corporation is a Japanese car manufacturer.

### Explanation:
RAM is an American car manufacturer, Toyota Motor Corporation is a Japanese car manufact",0.4324,0.0961,"RAM is American, Toyota Motor Corporation is Japanese. Both are car manufacturers. RAM is a brand of trucks and SUVs, while Toyota Motor Corporation is a brand of cars. Both are owned by Stellantis, a",0.0941,0.0335,"Toyota Motor Corporation is Japanese, RAM is American. RAM is a brand of trucks and SUVs manufactured by Stellantis, formerly known as Fiat Chrysler Automobiles. Toyota Motor Corporation is a Japanese",0.0741,0.0139,"RAM is American, Toyota Motor Corporation is Japanese. RAM is a brand of trucks and vans owned by Stellantis, formerly known as Fiat Chrysler Automobiles. Toyota Motor Corporation is a Japanese multin",0.0796,0.0300,LoRA
16,classification,"Classify the following as either red wines or white wines: Cabernet Sauvignon, Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc, Merlot, Syrah, Shiraz","Red wines: Cabernet Sauvignon, Merlot, Syrah, Shiraz
White wines: Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc","Red wines: Cabernet Sauvignon, Merlot, Syrah, Shiraz
White wines: Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc

### Explanation:
Red wines are made from dark-skinned grapes, which ",0.3736,0.2162,"Cabernet Sauvignon, Merlot, Syrah, Shiraz are red wines. Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc are white wines. Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Bl",0.2500,0.0995,"Red wines: Cabernet Sauvignon, Merlot, Syrah, Shiraz
White wines: Pinot Blanc, Riesling, Chardonnay, Pinot Grigio, Sauvignon Blanc. 
Note that Shiraz and Syrah are the same wine, just different names ",0.1988,0.0948,"Cabernet Sauvignon: Red Wine
Pinot Blanc: White Wine
Riesling: White Wine
Chardonnay: White Wine
Pinot Grigio: White Wine
Sauvignon Blanc: White Wine
Merlot: Red Wine
Syrah: Red Wine
Shiraz: Red Wine
",0.1719,0.0025,LoRA
17,classification,"Tell me whether these are pasta types or pizza types: macaroni, rigatoni, margherita, pepperoni, orzo, spaghetti, stuffed crust, Hawaiian","Pasta: macaroni, rigatoni, orzo, spaghetti
Pizza: margherita, pepperoni, stuffed crust, Hawaiian","```
pasta
pasta
pizza
pizza
pasta
pasta
pizza
pizza
```",0.2105,0.0000,"Pasta: macaroni, rigatoni, orzo, spaghetti
Pizza: margherita, pepperoni, stuffed crust, Hawaiian

The pizza types are all named after toppings, while the pasta types are named after their shape. The o",0.1068,0.0490,"Pasta: macaroni, rigatoni, orzo, spaghetti
Pizza: margherita, pepperoni, stuffed crust, Hawaiian
The only pizza type that is not a pizza is Hawaiian. It is a pasta type. The only pasta type that is no",0.1106,0.0506,"Pasta types: macaroni, rigatoni, orzo, spaghetti
Pizza types: margherita, pepperoni, stuffed crust, Hawaiian

Pasta is a type of food made from wheat flour and water, and sometimes eggs, that is forme",0.1009,0.0270,QLoRA
18,classification,Which is a species of fish? Steelhead or Metalhead,Steelhead,"Steelhead is a species of fish. Metalhead is a band.

### Explanation:
Steelhead is a species of fish. Metalhead is a band.",0.0909,0.0087,Steelhead is a species of fish. Metalhead is not a species of fish. Metalhead is a fictional character in the DC Universe. Metalhead is a cyborg who is a member of the Suicide Squad. Metalhead is a me,0.0094,0.0008,"Steelhead is a species of fish. Metalhead is not a species of fish. Metalhead is a term used to describe a fan of heavy metal music. Steelhead is a species of trout. Steelhead are anadromous, meaning ",0.0104,0.0009,Steelhead is a species of fish. Metalhead is a band. Steelhead is a species of trout. It is a sea-run rainbow trout. It is a subspecies of the rainbow trout. It is native to the Pacific Ocean and Paci,0.0106,0.0010,Full Fine-Tune
19,classification,"Categorize the below types of animals based on whether they are domestic or non-domestic
dog, cat, badgers, cougars","domestic : dog, cat
non-domestic : badgers, cougars","```
domestic = ['dog', 'cat']
non_domestic = ['badgers', 'cougars']
```",1.0000,0.0211,"Domestic: dog, cat
Non-Domestic: badgers, cougars

Note: The above categorization is based on the common understanding of domestic and non-domestic animals. However, there are many other factors that ",0.0636,0.0029,"Domestic: dog, cat
Non-domestic: badgers, cougars. These are wild animals. They are not domesticated. They are not kept as pets. They are not bred for human use. They are not used for work. They are n",0.0639,0.0020,"Domestic - dog, cat
Non-Domestic - badgers, cougars
Note: The above categorization is based on the fact that dogs and cats are domesticated animals, while badgers and cougars are wild animals. However",0.0753,0.0066,Full Fine-Tune
20,closed_qa,"What is an ""El Niño"" weather pattern?","El Niño (/ɛl ˈniːnjoʊ/ el NEEN-yoh, Spanish: [el ˈniɲo]; lit. 'The Boy') is the warm phase of the El Niño–Southern Oscillation (ENSO) and is associated with a band of warm ocean water that develops in","The response should be a short answer, which is a sentence or two. The response should be in the form of a paragraph. The response should be in the form of a paragraph. The response should be in the f",0.0867,0.0025,El Niño is a weather pattern that occurs when the sea surface temperature of the tropical central and eastern Pacific Ocean is warmer than normal. It is accompanied by high air pressure in the western,0.1739,0.0061,El Niño is the warm phase of the El Niño–Southern Oscillation (ENSO) and is associated with a band of warm ocean water that develops in the central and east-central equatorial Pacific (approximately b,0.3913,0.2461,El Niño is a weather pattern that occurs in the Pacific Ocean.  It is characterized by a band of warm water that develops in the central and east-central equatorial Pacific.  It is accompanied by high,0.4101,0.2399,Full Fine-Tune
21,closed_qa,"Given that preserving human brains for more than a century is fairly uncommon, what do you think was the motivation for preserving Guiteau's brain?","One reason for preserving the brain may have been to study structural abnormalities that could have explained Guiteau's violent behavior. Alternatively, because Guiteau was well-known and infamous, hi",The motivation for preserving Guiteau's brain was to study the brain of a murderer. Guiteau was a lawyer who had been fired from his job and was unemployed. He was also mentally ill and had a history ,0.1707,0.0098,Preserving Guiteau's brain was likely done to study the brain of a murderer.  It is also possible that it was done to study the brain of someone who was executed by hanging.  It is also possible that ,0.0714,0.0031,Preserving Guiteau's brain was likely motivated by the fact that it was a rare opportunity to preserve a human brain for more than a century.  Guiteau's brain was preserved in a jar of formaldehyde an,0.1240,0.0042,The motivation for preserving Guiteau's brain was likely to study the brain of a murderer.  Guiteau was convicted of murdering President Garfield and was executed by hanging.  The brain was preserved ,0.1045,0.0047,QLoRA
22,closed_qa,How was art used for manipulative purpose in racial discuss in the 20th century?,"In the 19th to 20th century, Europeans commonly use artworks to portray prejudice towards Middle Eastern and Asian people.","The artwork, predominantly paintings, were portrayed in order to instill prejudice in the Western populations through sexualizing and manipulating images. One of the most prominent examples of Orienta",0.0905,0.0041,"Art was used to portray the Arab and Asian communities as strange, foreign and exotic through Orientalism. This led to intolerance towards the Arab and Asian communities in Europe and the United State",0.0776,0.0034,Artwork was used to instill prejudice in the Western populations through sexualizing and manipulating images. One of the most prominent examples of Orientalist work in art is a piece by Eugène Delacro,0.0779,0.0035,"In the 19th and early 20th century, artwork was used to portray the Middle East and Asia as strange, foreign and exotic through Orientalism. This led to intolerance towards the Arab and Asian communit",0.1048,0.0077,Full Fine-Tune
23,closed_qa,"Given this paragraph, what were the regional release dates for Viva Piñata: Party Animals?","Viva Piñata: Party Animals was released for the Xbox 360 gaming console on October 30, 2007 in North America, November 15, 2007 in Australia, November 16, 2007 in Europe, and December 6, 2007 in Japan","The regional release dates for Viva Piñata: Party Animals are: North America: October 30, 2007, Australia: November 15, 2007, Europe: November 16, 2007, and Japan: December 6, 2007.",0.5538,0.1138,"Viva Piñata: Party Animals was released on October 30, 2007, in North America, November 15 in Australia, November 16 in Europe, and December 6 in Japan. It was developed by Krome Studios for the Micro",0.3211,0.0705,"Viva Piñata: Party Animals was released on October 30, 2007, in North America, November 15 in Australia, November 16 in Europe, and December 6 in Japan. It was developed by Krome Studios for the Micro",0.3211,0.0705,"Viva Piñata: Party Animals was released on October 30, 2007, in North America, November 15 in Australia, November 16 in Europe, and December 6 in Japan. The game was developed by Krome Studios for the",0.3182,0.0693,LoRA
24,closed_qa,When was Rhual constructed?,Rhual was constructed in 1634 by Evan Edwards.,"The response should be a single integer, the year in which Rhual was constructed.",0.2727,0.0334,"Rhual was constructed in 1634. It was built by Evan Edwards, a member of a well established Flintshire family which traced its descent from the Welsh king Hywel Dda. He most likely incorporated an old",0.0724,0.0255,"Rhual was constructed in 1634. The house has since been built upon further, and the east and south entrances were created in the 19th century. The present building was constructed in 1634 by Evan Edwa",0.0731,0.0257,"Rhual was constructed in 1634. It was built by Evan Edwards, a member of a well established Flintshire family which traced its descent from the Welsh king Hywel Dda. He most likely incorporated an old",0.0724,0.0255,QLoRA
25,closed_qa,What new economies developed because of the anti-slave treaties?,"Instead of exporting slaves, Africa began exporting palm oil, cocoa, timber, and gold.","The new economies that developed because of the anti-slave treaties were palm oil, cocoa, timber and gold.",0.5161,0.0749,"The new economies that developed because of the anti-slave treaties were palm oil, cocoa, timber and gold. These were the bedrock of West Africa's modern export trade. The Oyo Empire, unable to adapt,",0.0976,0.0062,"The new economies that developed because of the anti-slave treaties were palm oil, cocoa, timber and gold. These were the bedrock of West Africa's modern export trade. The Asante Confederacy, the King",0.0939,0.0063,"The new economies that developed because of the anti-slave treaties were palm oil, cocoa, timber and gold. These were the bedrock of West Africa's modern export trade. The Oyo Empire, unable to adapt,",0.0976,0.0062,LoRA
26,closed_qa,"Given a reference text about Michał Rozenfeld, tell me what he did before the war and where he's buried.",Michał Rozenfeld studied psychology before being sent to the Warsaw Ghetto during the war. He is buried at the Jewish Cemetery on Okopowa Street in Warsaw.,"Michał Rozenfeld was a Jewish resistance activist during the Second World War, participant of the Warsaw Ghetto uprising, partisan of the Mordechai Anielewicz Unit of the People's Guard. Before the ou",0.1429,0.0257,"Michał Rozenfeld was a Jewish resistance activist during the Second World War, participant of the Warsaw Ghetto uprising, partisan of the Mordechai Anielewicz Unit of the People's Guard. Before the ou",0.1429,0.0257,"Michał Rozenfeld was a Jewish resistance activist during the Second World War, participant of the Warsaw Ghetto uprising, partisan of the Mordechai Anielewicz Unit of the People's Guard. Before the ou",0.1429,0.0257,"Michał Rozenfeld was a Jewish resistance activist during the Second World War, participant of the Warsaw Ghetto uprising, and a partisan of the Mordechai Anielewicz Unit of the People's Guard. Before ",0.1422,0.0255,LoRA
27,closed_qa,Where did peanut butter and jelly sandwiches originate?,"In 1901, the Boston Cooking School Magazine published the first known reference for a peanut butter and jelly sandwich. This magazine article called for ""three very thin layers of bread and two of fil","The first known reference for a peanut butter and jelly sandwich appeared in the Boston Cooking School Magazine in 1901; it called for ""three very thin layers of bread and two of filling, one of peanu",0.7339,0.6535,"The first known reference for a peanut butter and jelly sandwich appeared in the Boston Cooking School Magazine in 1901; it called for ""three very thin layers of bread and two of filling, one of peanu",0.3320,0.2093,"The first known reference for a peanut butter and jelly sandwich appeared in the Boston Cooking School Magazine in 1901; it called for ""three very thin layers of bread and two of filling, one of peanu",0.3320,0.2046,"The first known reference for a peanut butter and jelly sandwich appeared in the Boston Cooking School Magazine in 1901; it called for ""three very thin layers of bread and two of filling, one of peanu",0.3019,0.1768,LoRA
28,closed_qa,"Given a reference text about Mussa Azzan Zungu, tell me his current position.",Mussa Azzan Zungu's current position is Deputy Speaker of Tanzania National Assembly.,Mussa Azzan Zungu is the Deputy Speaker of Tanzania National Assembly.,0.8333,0.4883,"Mussa Azzan Zungu is the current Deputy Speaker of Tanzania National Assembly. He was appointed to this position on June 16, 2020. He was previously the Minister of State in the Vice President's offic",0.0976,0.0280,"Mussa Azzan Zungu is the Deputy Speaker of the Tanzanian National Assembly. He was appointed to this position on June 16, 2020. He was previously the Minister of State in the Vice President's office. ",0.0980,0.0080,Mussa Azzan Zungu is the Deputy Speaker of the Tanzanian National Assembly. He was appointed to this position in 2020. He is also a member of parliament for Ilala constituency. He has been a member of,0.0914,0.0076,QLoRA
29,closed_qa,"Based on this questio about Kingdom Hearts, what company published it?",Square Enix,Square Enix,1.0000,0.3162,"Square Enix published Kingdom Hearts. It is a collaboration between Square Enix and The Walt Disney Company. The game is under the leadership of Tetsuya Nomura, a longtime Square Enix employee. The ga",0.0197,0.0019,Square Enix published Kingdom Hearts. It is a collaboration between Square Enix and The Walt Disney Company. Tetsuya Nomura and Shinji Hashimoto are the game designers. Nomura is a longtime Square Eni,0.0190,0.0019,"Kingdom Hearts is published by Square Enix. It is a collaboration between Square Enix and The Walt Disney Company. It is under the leadership of Tetsuya Nomura, a longtime Square Enix employee. It is ",0.0191,0.0018,LoRA
30,creative_writing,Why do I have a belly button?,"When we were a baby we were connected to our mother through an umbilical cord that provided food, water and nutrients to help us grow. The belly button is the spot where the cord was once attached fro","I have a belly button because I was once inside my mother's womb. I was connected to my mother by the umbilical cord. When I was born, the umbilical cord was cut and the stump of the cord was left on ",0.1365,0.0291,"You have a belly button because you were once a fetus inside your mother's womb.  The umbilical cord connected you to your mother and provided you with oxygen and nutrients.  When you were born, the u",0.1224,0.0085,"You have a belly button because you were once a fetus.  The umbilical cord was attached to your belly button and provided nutrients to your body.  When you were born, the umbilical cord was cut and th",0.1102,0.0188,"You have a belly button because you were once a fetus.  When you were a fetus, you were inside your mother's womb.  Your mother's womb is a warm, safe place for you to grow.  Your mother's womb is als",0.0909,0.0035,LoRA
31,creative_writing,What are the best day trips near San Francisco?,"The San Francisco Bay Area has a number of amazing day trips offering a variety of options.  The wine country is less than an hour away.  Santa Cruz, Monterey & Big Sur are all great escapes to the co","The best day trips near San Francisco are:
* Muir Woods
* Napa Valley
* Sonoma
* Yosemite National Park
* Monterey
* Santa Cruz
* Lake Tahoe
* Big Sur
* Mendocino
* Carmel-by-the-Sea
* Point Reyes Nat",0.1190,0.0049,There are many great day trips near San Francisco. One of the most popular is to go to Muir Woods National Monument. Muir Woods is a redwood forest that is only 30 minutes from San Francisco. Another ,0.1509,0.0043,"There are many great day trips near San Francisco. One of the most popular is Napa Valley, which is about an hour drive north of the city. Napa Valley is known for its wine tasting and beautiful scene",0.1487,0.0099,"There are many great day trips near San Francisco. One of the most popular is to visit the wine country in Napa and Sonoma. You can also visit the redwoods in Muir Woods, or the beach towns of Half Mo",0.1519,0.0153,Full Fine-Tune
